County,AccCount,Population
Perry,55,207177
Pershing,15,6666
Person,4,39507
Petersburg,154,3221
Petersburg City,9,31567
Pettis,2,42542
Phelps,34,53728
Philadelphia,1658,1584138
Phillips,6,31706
Piatt,4,16396
Pickaway,55,58086
Pickens,962,176855
Pickett,1,5082
Pierce,2272,964466
Pike,124,291135
Pima,4887,1039073
Pinal,541,447138
Pine,59,29483
Pinellas,3877,975280
Pipestone,3,9047
Pitkin,6,17950
Pitt,12,179914
Pittsburg,1,43877
Pittsylvania,84,60949
Piute,9,1445
Placer,1285,393149
Platte,171,144914
Plumas,79,18804
Plymouth,631,543227
Pocahontas,3,15154
Poinsett,4,23974
Pointe Coupee,8,21940
Polk,2214,1543112
Pontotoc,1,70080
Pope,9,79309
Portage,94,233869
Porter,62,169594
Portsmouth,186,94632
Portsmouth City,1,94632
Posey,5,25540
Pottawatomie,55,96956
Pottawattamie,208,93533
Potter,16,138477
Powell,3,19410
Power,2,7768
Poweshiek,21,18699
Powhatan,78,29189
Prairie,14,9161
Preble,42,40997
Prentiss,2,25315
Presque Isle,4,12738
Preston,3,33839
Price,2,13397
Prince Edward,20,22950
Prince George,77,38082
Prince George's,1712,909308
Prince Georges,44,#N/A
Prince William,1021,468011
Providence,2617,636084
Prowers,3,12164
Pueblo,144,167529
Pulaski,229,572384
Putnam,997,412445
Quay,26,8253
Queen Anne's,136,50251
Queen Annes,4,#N/A
Queens,3527,2278906
Rabun,7,16867
Racine,162,196584
Radford,1,18339
Rains,1,12159
Raleigh,19,74254
Ralls,3,10212
Ramsey,4053,561691
Randall,2,136271
Randolph,60,301400
Rankin,185,153902
Rapides,36,130562
Rappahannock,7,7252
Ravalli,2,43172
Red River,2,12175
Redwood,15,15249
Reeves,22,15695
Rensselaer,411,159442
Renville,14,16986
Rhea,10,33044
Rice,107,76054
Rich,3,2464
Richland,6799,595967
Richmond,3440,228783
Richmond City,4220,228783
Richmond County,7,731658
Rio Arriba,1,39006
Rio Blanco,15,6336
Rio Grande,3,11250
Ripley,15,41924
Ritchie,6,9721
Riverside,7037,2450758
Roane,75,67072
Roanoke,4,99920
Roanoke City,402,99920
Roanoke County,194,94073
Robertson,74,90431
Robeson,70,131831
Rock,135,173903
Rock Island,36,143477
Rockbridge,161,22752
Rockcastle,4,16750
Rockdale,79,90594
Rockingham,789,481110
Rockland,1244,325695
Rockwall,158,100657
Rogers,83,91984
Roscommon,4,23884
Roseau,4,15150
Rosebud,9,9063
Ross,27,76931
Routt,7,25733
Rowan,179,165845
Runnels,1,10234
Rush,15,19756
Rusk,8,68597
Russell,27,109257
Rutherford,240,391716
Rutland,7,58672
Sabine,2,10589
Sac,1,9719
Sacramento,7148,1540975
Sagadahoc,26,35634
Saginaw,151,190800
Saguache,2,6843
Saint Charles,9,#N/A
Saint Clair,6,#N/A
Saint Johns,8,#N/A
Saint Joseph,3,#N/A
Saint Landry,1,#N/A
Saint Louis,49,#N/A
Saint Louis City,5,#N/A
Saint Lucie,5,#N/A
Saint Tammany,5,#N/A
Salem,140,25643
Saline,44,236973
Salt Lake,5036,1152633
Saluda,150,20544
Sampson,14,63626
San Benito,267,61537
San Bernardino,8125,2171603
San Diego,7839,3343364
San Francisco,1989,883305
San Jacinto,2,28719
San Joaquin,2593,752660
San Juan,56,158382
San Luis Obispo,906,284010
San Mateo,3553,769545
San Miguel,14,35782
San Patricio,4,66893
Sanders,2,11844
Sandoval,23,145179
Sandusky,26,58799
Sangamon,36,195348
Sanpete,58,30623
Santa Barbara,1049,446527
Santa Clara,7893,1937570
Santa Cruz,1148,320766
Santa Fe,30,150056
Santa Rosa,408,179349
Sarasota,978,426718
Saratoga,828,230163
Sarpy,1024,184459
Sauk,24,64249
Saunders,1,21303
Schenectady,264,155350
Schley,2,5236
Schoharie,54,31097
Schoolcraft,4,8068
Schuyler,2,29418
Schuylkill,77,142067
Scioto,5,75502
Scotland,10,39776
Scott,504,531033
Scotts Bluff,2,35989
Screven,5,13938
Scurry,1,16866
Searcy,4,7958
Sebastian,4,127753
Sedgwick,52,515910
Seminole,964,500725
Seneca,60,89507
Sequatchie,6,14876
Sequoyah,5,41179
Sevier,191,136570
Seward,14,39098
Shasta,376,180040
Shawano,23,40796
Shawnee,24,177499
Sheboygan,65,115456
Shelby,3903,1357996
Shenandoah,232,43497
Sherburne,134,96036
Sheridan,2,42729
Sherman,136,13724
Shiawassee,74,68192
Shoshone,13,12796
Sibley,28,15028
Sierra,41,13955
Silver Bow,3,34993
Simpson,9,45287
Sioux,5,40454
Siskiyou,70,43724
Skagit,268,128206
Skamania,38,11924
Slope,1,763
Smith,48,269768
Smyth,58,30472
Snohomish,2380,814901
Snyder,12,40540
Socorro,6,16735
Solano,2323,446610
Somerset,516,481383
Somervell,1,9016
Sonoma,2409,499942
Southampton,27,17586
Spalding,59,66100
Spartanburg,5423,313888
Spencer,15,39121
Spink,1,6495
Spokane,524,514631
Spotsylvania,189,134238
St Joseph,1,#N/A
St. Charles,588,399182
St. Clair,335,518481
St. Croix,65,89694
St. Francis,39,25439
St. Francois,5,66692
St. Helena,1,10262
St. James,15,21037
St. John the Baptist,51,43184
St. Johns,532,254261
St. Joseph,90,331814
St. Landry,21,82764
St. Lawrence,16,108047
St. Louis,130,302838
St. Louis City,796,302838
St. Louis County,2626,1196699
St. Lucie,309,321128
St. Martin,96,53621
St. Mary,2,49774
St. Mary's,49,112664
St. Tammany,124,258111
Stafford,546,154138
Stanislaus,1322,549815
Stanly,10,62075
Stark,76,407998
Starke,2,22935
Starr,6,64525
Staunton,5,24922
Staunton City,1,24922
Ste Genevieve,4,#N/A
Stearns,204,159256
Steele,65,38706
Stephens,13,78733
Stephenson,1,44753
Steuben,47,130382
Stevens,21,60572
Stewart,9,19760
Stillwater,5,9534
Stokes,4,45467
Stone,16,62923
Storey,33,4029
Story,85,98105
Strafford,115,130090
Stutsman,1,20917
Suffolk,3925,91185
Sullivan,143,309292
